"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"audio_socket1","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","~"
"C3","1","0.1uF або менше","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C5,C7,C8,C12,C17,C33,C36,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C53","20","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C20,C21,C22,C23,C37,C38,C39,C40","9","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10,C30","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11,C18,C19,C26,C27,C32,C34,C35,C52","9","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13,C24","2","10uF","DNP","Excluded from BOM","Excluded from board","Capacitor_SMD:C_0805_2012Metric","~"
"C14,C15","2","220pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16,C25","2","0.1uF","DNP","Excluded from BOM","Excluded from board","Capacitor_SMD:C_0805_2012Metric","~"
"C28","1","47nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C29","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C31","1","20uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","D","","","","LED_SMD:LED_0805_2012Metric","~"
"D2","1","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"DAC1","1","MAX98357A","","","","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf"
"display2","1","Conn_01x40_Pin","DNP","Excluded from BOM","Excluded from board","Connector_FFC-FPC:Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal","~"
"ESP2","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"FB2,FB3","2","600","","","","Resistor_SMD:R_0805_2012Metric","~"
"J1","1","battery","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2","1","Conn_01x06_Pin","","","","Library:pad_6pin","~"
"J4","1","vibro+","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"J5","1","vibro-","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"J6","1","Conn_01x14_Pin","","","","Connector_PinSocket_2.54mm:pads rp2040","~"
"J7","1","Conn_01x10_Pin","","","","Library:pad_10pin","~"
"J9","1","Conn_01x10_Pin","","","","Connector_FFC-FPC:TE_1-1734839-0_1x10-1MP_P0.5mm_Horizontal","~"
"JP1,JP2","2","SolderJumper_3_Open","","","","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"L1,L3","2","1.5uH","","","","Inductor_SMD:L_Chilisin_BMRA00050530","~"
"L2","1","2.2uH","","","","Inductor_SMD:L_Chilisin_BMRA00050530","~"
"Q1","1","NPN","","","","Package_TO_SOT_SMD:SOT-23-3","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q2,Q3","2","NMOS","","","","Package_TO_SOT_SMD:SOT-23","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"R1","1","0R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5,R9,R10,R11,R12,R13,R17,R24,R25,R26,R29,R30,R31,R42,R73,R76,R78,R80,R82,R84,R86,R88,R90,R91,R93,R94","27","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14","1","33R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R16,R33,R36,R71","5","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18,R27,R28,R72","4","300R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R19,R34,R37,R40","4","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R20,R21,R22","3","10k","DNP","Excluded from BOM","Excluded from board","Resistor_SMD:R_0805_2012Metric","~"
"R23","1","2k2","","","","Resistor_SMD:R_0805_2012Metric","~"
"R35,R39","2","180k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R38","1","1.6M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R43,R44,R45,R46,R47,R48,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R70,R96,R97,R98","23","0","","","","Resistor_SMD:R_0402_1005Metric","~"
"R65,R66,R67,R68,R69","5","0","DNP","Excluded from BOM","Excluded from board","Resistor_SMD:R_0402_1005Metric","~"
"R74,R75,R77,R79,R81,R83,R85,R87","8","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"SD1","1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"SW1","1","top","","","","dome switch 10mm:SW_Dome_10mm","~"
"SW2","1","down","","","","dome switch 10mm:SW_Dome_10mm","~"
"SW3","1","right","","","","dome switch 10mm:SW_Dome_10mm","~"
"SW4","1","SW_SPST","","","","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_Copal_CVS-01xB_W5.9mm_P1mm","~"
"SW5","1","left","","","","dome switch 10mm:SW_Dome_10mm","~"
"SW6","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3U-3000P","~"
"SW7","1","B","","","","dome switch 10mm:SW_Dome_10mm","~"
"SW8","1","A","","","","dome switch 10mm:SW_Dome_10mm","~"
"SW9","1","menu","","","","dome switch 10mm:SW_Dome_10mm","~"
"SW10","1","start","","","","dome switch 10mm:SW_Dome_10mm","~"
"TP1","1","TestPoint","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP3,TP4,TP5,TP6,TP9,TP10","6","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP7,TP8","2","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1,U5","2","TPS63020","","","","TPS63020:TPS63020","http://www.ti.com/lit/ds/symlink/tps63000.pdf"
"U2","1","BQ24295RGER","","","","BQ24295RGER:IC_BQ24295RGER",""
"U3","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U4","1","TS3USB221A","","","","TS3USB221A:QFN-10-RSE",""
"U6","1","BMI270","","","","BMI270:XDCR_BMI270",""
"U7","1","TCA9555PWR","","","","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tca9555.pdf"
"USBC1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
